,id,host_age
858,ERR209309,
859,ERR209158,
860,SRR341631,23.0
861,ERR525717,
862,SRR413603,55.0
863,ERR209503,
864,ERR525728,
865,ERR209355,
866,ERR209167,
867,ERR209193,
868,ERR209399,
869,SRR413604,50.0
870,ERR525710,
871,SRR341636,51.0
872,ERR209194,
873,ERR209160,
874,ERR209352,
875,ERR209736,
876,ERR209504,
877,SRR413632,50.0
878,ERR209169,
879,ERR525726,
880,ERR209390,
881,ERR525987,
882,ERR525719,
883,ERR209156,
884,ERR209364,
885,ERR525973,
886,ERR209738,
887,ERR525721,
888,SRR413635,44.0
889,ERR209363,
890,ERR209151,
891,SRR341638,35.0
892,ERR209397,
893,ERR209337,
894,ERR209753,
895,SRR341698,23.0
896,ERR525775,
897,SRR341653,14.0
898,ERR209308,
899,ERR209906,
900,ERR525781,
901,SRR413661,54.0
902,ERR209798,
903,SRR413659,34.0
904,ERR525927,
905,ERR209330,
906,SRR413666,41.0
907,ERR525786,
908,ERR209901,
909,ERR525918,
910,ERR525772,
911,ERR525911,
912,ERR209306,
913,ERR209134,
914,SRR341696,24.0
915,SRR413650,48.0
916,ERR525744,
917,ERR209339,
918,ERR209133,
919,ERR209301,
920,SRR413668,45.0
921,ERR525788,
922,ERR525929,
923,ERR525743,
924,SRR341691,27.0
925,SRR413657,45.0
926,ERR526040,
927,SRR341717,41.0
928,ERR209842,
929,ERR525890,
930,ERR209287,
931,ERR525864,
932,ERR209273,
933,ERR209425,
934,ERR209079,
935,ERR209845,
936,SRR341710,40.0
937,ERR526047,
938,ERR209422,
939,ERR209274,
940,ERR525863,
941,ERR209280,
942,ERR525897,
943,ERR526078,
944,ERR526085,
945,ERR209289,
946,ERR526071,
947,ERR209242,
948,ERR525855,
949,ERR209070,
950,ERR209414,
951,SRR341719,37.0
952,ERR209084,
953,ERR526076,
954,ERR525899,
955,ERR526082,
956,SRR341721,26.0
957,ERR209083,
958,ERR526049,
959,ERR209413,
960,ERR209077,
961,ERR525852,
962,ERR209245,
963,ERR525698,
964,ERR209447,
965,ERR209211,
966,ERR526022,
967,SRR413575,52.0
968,ERR209820,
969,ERR525839,
970,SRR413581,69.0
971,ERR209478,
972,ERR525801,
973,ERR209216,
974,ERR209672,
975,ERR209440,
976,ERR209686,
977,ERR1398248,
978,SRR413586,41.0
979,ERR209229,
980,ERR526025,
981,ERR209644,
982,ERR209476,
983,ERR525837,
984,ERR209220,
985,ERR209482,
986,ERR209811,
987,ERR209449,
988,ERR525696,
989,ERR526013,
990,ERR209485,
991,ERR209227,
992,ERR525830,
993,SRR413588,50.0
994,ERR209471,
995,ERR209643,
996,ERR209688,
997,ERR525691,
998,ERR526014,
999,ERR209218,
1000,SRR341720,39.0
1001,ERR526083,
1002,ERR526077,
1003,ERR525898,
1004,ERR209412,
1005,ERR209244,
1006,ERR525853,
1007,ERR209082,
1008,ERR526048,
1009,ERR209288,
1010,ERR526070,
1011,ERR526084,
1012,ERR209085,
1013,ERR209071,
1014,ERR525854,
1015,ERR209243,
1016,SRR341718,32.0
1017,ERR209415,
1018,ERR526046,
1019,ERR209844,
1020,ERR209078,
1021,SRR341711,38.0
1022,ERR525896,
1023,ERR209281,
1024,ERR526079,
1025,ERR209423,
1026,ERR525862,
1027,ERR209275,
1028,SRR341716,30.0
1029,ERR209843,
1030,ERR526041,
1031,ERR209272,
1032,ERR525865,
1033,ERR209424,
1034,ERR209286,
1035,ERR525891,
1036,ERR525831,
1037,ERR209226,
1038,ERR209642,
1039,SRR413589,39.0
1040,ERR209470,
1041,ERR209484,
1042,ERR209219,
1043,ERR525690,
1044,ERR526015,
1045,ERR209689,
1046,ERR209483,
1047,ERR209477,
1048,ERR209645,
1049,ERR209221,
1050,ERR525836,
1051,ERR525697,
1052,ERR526012,
1053,ERR209810,
1054,ERR209448,
1055,ERR209687,
1056,ERR209217,
1057,ERR525800,
1058,ERR209819,
1059,ERR209441,
1060,ERR209673,
1061,ERR526024,
1062,SRR413587,55.0
1063,ERR209826,
1064,ERR209228,
1065,ERR209674,
1066,ERR209446,
1067,ERR525807,
1068,ERR209210,
1069,ERR525699,
1070,ERR525838,
1071,SRR413580,60.0
1072,ERR209479,
1073,ERR526023,
1074,ERR719348,23.0
1075,ERR719946,31.0
1076,ERR720034,32.0
1077,ERR720206,25.0
1078,ERR719713,22.0
1079,ERR720239,25.0
1080,ERR719521,26.0
1081,ERR719979,31.0
1082,ERR719145,23.0
1083,ERR719377,21.0
1084,ERR719383,21.0
1085,ERR719189,26.0
1086,ERR720201,23.0
1087,ERR719519,26.0
1088,ERR720033,32.0
1089,ERR719941,23.0
1090,ERR719384,21.0
1091,ERR719370,21.0
1092,ERR719142,23.0
1093,ERR719526,26.0
1094,ERR719714,22.0
1095,ERR719983,32.0
1096,ERR719977,31.0
1097,ERR719379,21.0
1098,ERR720237,25.0
1099,ERR720005,32.0
1100,ERR719180,26.0
1101,ERR719510,24.0
1102,ERR720208,25.0
1103,ERR719722,22.0
1104,ERR719346,23.0
1105,ERR719948,31.0
1106,ERR719174,26.0
1107,ERR720002,32.0
1108,ERR719528,26.0
1109,ERR720230,25.0
1110,ERR719970,31.0
1111,ERR719984,32.0
1112,ERR719173,26.0
1113,ERR719341,23.0
1114,ERR719725,22.0
1115,ERR719517,26.0
1116,ERR719187,26.0
1117,ERR719127,23.0
1118,ERR720069,26.0
1119,ERR719543,26.0
1120,ERR719771,31.0
1121,ERR719785,31.0
1122,ERR720056,26.0
1123,ERR719118,21.0
1124,ERR719924,23.0
1125,ERR719588,23.0
1126,ERR719782,31.0
1127,ERR719776,31.0
1128,ERR719544,26.0
1129,ERR719120,21.0
1130,ERR719312,23.0
1131,ERR719923,23.0
1132,ERR720051,26.0
1133,ERR719749,31.0
1134,ERR719586,23.0
1135,ERR719116,21.0
1136,ERR719324,23.0
1137,ERR719740,22.0
1138,ERR719572,23.0
1139,ERR720058,26.0
1140,ERR720093,30.0
1141,ERR720067,26.0
1142,ERR719129,23.0
1143,ERR719915,23.0
1144,ERR719575,23.0
1145,ERR719747,31.0
1146,ERR719323,23.0
1147,ERR719111,21.0
1148,ERR719581,23.0
1149,ERR719912,23.0
1150,ERR719778,31.0
1151,ERR720060,26.0
1152,ERR720094,30.0
1153,ERR719985,32.0
1154,ERR720231,25.0
1155,ERR720003,32.0
1156,ERR719529,26.0
1157,ERR719971,31.0
1158,ERR719186,26.0
1159,ERR719340,23.0
1160,ERR719172,26.0
1161,ERR719516,26.0
1162,ERR719724,22.0
1163,ERR719378,21.0
1164,ERR719976,31.0
1165,ERR720004,32.0
1166,ERR720236,25.0
1167,ERR719982,32.0
1168,ERR720209,25.0
1169,ERR719723,22.0
1170,ERR719511,24.0
1171,ERR719175,26.0
1172,ERR719949,31.0
1173,ERR719347,23.0
1174,ERR719181,26.0
1175,ERR719518,26.0
1176,ERR720032,32.0
1177,ERR720200,23.0
1178,ERR719940,23.0
1179,ERR719188,26.0
1180,ERR719143,23.0
1181,ERR719371,21.0
1182,ERR719715,22.0
1183,ERR719527,26.0
1184,ERR719385,21.0
1185,ERR719947,31.0
1186,ERR719349,23.0
1187,ERR720207,25.0
1188,ERR720035,32.0
1189,ERR719382,21.0
1190,ERR719520,26.0
1191,ERR719712,22.0
1192,ERR720238,25.0
1193,ERR719376,21.0
1194,ERR719144,23.0
1195,ERR719580,23.0
1196,ERR719746,31.0
1197,ERR719574,23.0
1198,ERR719110,21.0
1199,ERR719322,23.0
1200,ERR720095,30.0
1201,ERR719913,23.0
1202,ERR720061,26.0
1203,ERR719779,31.0
1204,ERR719325,23.0
1205,ERR719117,21.0
1206,ERR719573,23.0
1207,ERR720059,26.0
1208,ERR719741,31.0
1209,ERR719587,23.0
1210,ERR720066,26.0
1211,ERR719914,23.0
1212,ERR719128,23.0
1213,ERR720092,30.0
1214,ERR719545,26.0
1215,ERR719777,31.0
1216,ERR719313,23.0
1217,ERR719121,21.0
1218,SRR2175762,
1219,ERR719783,31.0
1220,ERR719922,23.0
1221,ERR719748,31.0
1222,ERR720050,26.0
1223,ERR719784,31.0
1224,SRR2175765,
1225,ERR719126,23.0
1226,ERR719314,23.0
1227,ERR719770,31.0
1228,ERR720068,26.0
1229,ERR719542,26.0
1230,ERR719589,23.0
1231,ERR720057,26.0
1232,ERR719925,23.0
1233,ERR719119,21.0
1234,ERR719259,22.0
1235,ERR719857,24.0
1236,ERR720125,22.0
1237,ERR719602,23.0
1238,ERR719430,22.0
1239,ERR719054,30.0
1240,ERR719868,24.0
1241,ERR719266,22.0
1242,ERR719292,23.0
1243,ERR719098,21.0
1244,ERR720122,22.0
1245,ERR719850,24.0
1246,ERR719295,23.0
1247,ERR719261,22.0
1248,ERR719053,30.0
1249,ERR719437,22.0
1250,ERR719605,23.0
1251,ERR719892,24.0
1252,ERR719866,24.0
1253,ERR719268,22.0
1254,ERR720114,30.0
1255,ERR719091,22.0
1256,ERR719401,22.0
1257,ERR719633,25.0
1258,ERR719257,22.0
1259,ERR719065,30.0
1260,ERR719859,24.0
1261,ERR720113,30.0
1262,ERR719439,22.0
1263,ERR719861,24.0
1264,ERR719895,24.0
1265,ERR719062,30.0
1266,ERR719250,22.0
1267,ERR719634,25.0
1268,ERR719406,22.0
1269,ERR719096,21.0
1270,ERR719204,26.0
1271,ERR719036,30.0
1272,ERR720178,21.0
1273,ERR719452,22.0
1274,ERR719660,25.0
1275,ERR719694,22.0
1276,ERR720147,22.0
1277,ERR719835,35.0
1278,ERR719009,31.0
1279,ERR719499,24.0
1280,ERR719693,29.0
1281,ERR719667,25.0
1282,ERR719455,22.0
1283,ERR719031,26.0
1284,ERR719203,26.0
1285,ERR719832,35.0
1286,ERR720140,22.0
1287,ERR719658,25.0
1288,ERR719497,24.0
1289,ERR719007,31.0
1290,ERR719235,22.0
1291,ERR719651,25.0
1292,ERR719463,24.0
1293,ERR695611,
1294,ERR720149,21.0
1295,ERR720182,23.0
1296,ERR720176,21.0
1297,ERR719804,35.0
1298,ERR719038,30.0
1299,ERR719464,24.0
1300,ERR695616,
1301,ERR719656,25.0
1302,ERR719232,22.0
1303,ERR719000,29.0
1304,ERR719490,24.0
1305,ERR719803,35.0
1306,ERR719669,25.0
1307,ERR720171,21.0
1308,ERR720185,23.0
1309,ERR719894,24.0
1310,ERR720112,30.0
1311,ERR719438,22.0
1312,ERR719860,24.0
1313,ERR719097,21.0
1314,ERR719251,22.0
1315,ERR719063,30.0
1316,ERR719407,22.0
1317,ERR719635,25.0
1318,ERR719269,22.0
1319,ERR719867,24.0
1320,ERR720115,30.0
1321,ERR719893,24.0
1322,ERR719632,25.0
1323,ERR719400,22.0
1324,ERR719858,24.0
1325,ERR719064,30.0
1326,ERR719256,22.0
1327,ERR719090,22.0
1328,ERR719409,22.0
1329,ERR719851,24.0
1330,ERR719099,21.0
1331,ERR719052,30.0
1332,ERR719260,22.0
1333,ERR719604,23.0
1334,ERR719436,22.0
1335,ERR719294,23.0
1336,ERR719856,24.0
1337,ERR719258,22.0
1338,ERR720124,22.0
1339,ERR719293,23.0
1340,ERR719431,22.0
1341,ERR719603,23.0
1342,ERR719267,22.0
1343,ERR719869,24.0
1344,ERR719055,30.0
1345,ERR719491,24.0
1346,ERR719657,25.0
1347,ERR719465,24.0
1348,ERR695617,
1349,ERR719001,29.0
1350,ERR719233,22.0
1351,ERR720184,23.0
1352,ERR719802,35.0
1353,ERR720170,21.0
1354,ERR719668,25.0
1355,ERR719234,22.0
1356,ERR719006,31.0
1357,ERR719462,24.0
1358,ERR695610,
1359,ERR720148,21.0
1360,ERR719650,25.0
